subject,credits,category,year,term,day,period,room,teacher,color,url
ワイヤレスアクセス特論,2,専門選択,4,fall,Mon,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260303403101yyyy260702402026&pLng=jp
ソーシャルネットワークサイエンス,2,専門選択,4,fall,Thu,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260303403701yyyy260702400526&pLng=jp
SDGsとICT,2,専門選択,4,fall,Fri,6,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260303404301yyyy260702402726&pLng=jp
暗号プロトコル理論とブロックチェーン,2,専門選択,4,fall,Tue,4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260303404401yyyy260702402826&pLng=jp

微分方程式（基幹）,2,基幹共通,2,spring,Fri,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260002200203yyyy260002200226&pLng=jp
ベクトル解析（基幹）,2,基幹共通,2,spring,Thu,3,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260002200302yyyy260002200326&pLng=jp
続線形代数（基幹）,2,基幹共通,2,spring,Fri,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260002200501yyyy260002200526&pLng=jp
電磁気学（基幹）,2,基幹共通,2,spring,Thu,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260002200601yyyy260002200626&pLng=jp
フーリエ解析（基幹）,2,基幹共通,2,fall,Fri,1,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260002200101yyyy260002200126&pLng=jp
複素関数論（基幹）,2,基幹共通,2,fall,Tue,2,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260002200403yyyy280021000826&pLng=jp

理工学基礎実験2A 情報理工・情報通信,2,必修,2,spring,Tue,3-4,,,,https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=260025000301yyyy260025000326&pLng=jp

Academic Reading 1,1,必修,2,spring,Mon,5,,,
Concept Building And Discussion 1,1,必修,2,spring,Wed,5,,,
Academic Reading 2,1,必修,2,fall,Mon,5,,,
Concept Building And Discussion 2,1,必修,2,fall,Wed,5,,,
